Region,BlockNumber,BlockName,SiteID,SiteName,SamplingDate,Year,Haulout,Latitude,Longitude,SpraintNum,Clam,Crab,Mussel,Urchin,Other,OtherSpecies,Notes
AKP,10,KATM,AKP_B10_RI_01,Shakun,2008-06-27,2008,Shakun,58.5758,-153.7152,.,A,PR,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2008-06-27,2008,Shakun,58.5758,-153.7152,.,A,PR,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2008-06-27,2008,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2008-06-27,2008,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2008-06-27,2008,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2008-06-27,2008,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2008-06-27,2008,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2008-06-27,2008,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2008-06-27,2008,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2008-06-27,2008,Shakun,58.5758,-153.7152,.,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2008-06-27,2008,Shakun,58.5758,-153.7152,.,PR,A,PR,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2008-06-27,2008,Shakun,58.5758,-153.7152,.,PR,P,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2008-06-27,2008,Shakun,58.5758,-153.7152,.,PR,P,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2008-06-27,2008,Shakun,58.5758,-153.7152,.,PR,P,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2008-06-27,2008,Shakun,58.5758,-153.7152,.,PR,P,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2008-06-27,2008,Shakun,58.5758,-153.7152,.,PR,P,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2008-06-27,2008,Shakun,58.5758,-153.7152,.,PR,P,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2008-06-27,2008,Shakun,58.5758,-153.7152,.,PR,P,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,1,PR,A,P,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,2,PR,A,P,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,3,PR,A,P,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,4,PR,A,P,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,5,PR,A,P,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,6,PR,A,P,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,7,PR,A,P,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,8,PR,A,P,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,9,PR,A,P,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,10,PR,A,P,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,11,PR,A,P,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,12,PR,A,P,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,13,PR,A,P,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,14,PR,A,P,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,15,PR,A,P,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,16,PR,P,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,17,PR,P,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,18,PR,P,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,19,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,20,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,21,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,22,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,23,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,24,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,25,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,26,PR,A,A,A,A,.,
AKP,10,KATM,AKP_B10_RI_01,Shakun,2012-06-29,2012,Shakun,58.5758,-153.7152,27,PR,A,A,A,A,.,
